best_x,best_y,best_combined,pairs_lt_80,pairs_lt_90,pairs_lt_95,pairs_lt_98,pairs_lt_100,cost_10,slip_10,cost_50,slip_50,cost_100,slip_100,cost_250,slip_250,ts,asset,combo,secs_to_close,kalshi_ticker,okx_inst
0.51,0.89,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.442,4.2,1.4728,7.28,1.5005,10.05,2026-09-21T11:16:02+00:00,ETH,B,837,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.49,0.66,1.15,0.0,0.0,0.0,0.0,0.0,1.3615,21.15,1.4311,28.11,1.4665,31.65,1.4878,33.78,2026-09-21T11:16:02+00:00,SOL,A,837,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.52,0.55,1.07,0.0,0.0,0.0,0.0,0.0,1.3805,31.05,1.4449,37.49,1.4784,40.84,1.4986,42.86,2026-09-21T11:16:02+00:00,SOL,B,837,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.37,0.71,1.08,0.0,0.0,0.0,0.0,0.0,1.2465,16.65,1.2969,21.69,1.328,24.8,1.3466,26.66,2026-09-21T11:16:23+00:00,BTC,A,816,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.64,0.44,1.08,0.0,0.0,0.0,0.0,0.0,1.4895,40.95,1.5615,48.15,1.5953,51.53,1.6155,53.55,2026-09-21T11:16:23+00:00,BTC,B,816,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.5,0.89,1.39,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.4356,4.56,1.4709,8.09,1.4978,10.78,2026-09-21T11:16:23+00:00,ETH,A,816,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.51,0.89,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.442,4.2,1.471,7.1,1.4884,8.84,2026-09-21T11:16:23+00:00,ETH,B,816,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.51,0.66,1.17,0.0,0.0,0.0,0.0,0.0,1.3815,21.15,1.4371,26.71,1.4695,29.95,1.4905,32.05,2026-09-21T11:16:23+00:00,SOL,A,816,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.5,0.55,1.05,0.0,0.0,0.0,0.0,0.0,1.3605,31.05,1.4329,38.29,1.4681,41.81,1.4981,44.81,2026-09-21T11:16:23+00:00,SOL,B,816,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.33,0.75,1.08,0.0,0.0,0.0,0.0,0.0,1.2105,13.05,1.2577,17.77,1.2884,20.84,1.3067,22.67,2026-09-21T11:16:45+00:00,BTC,A,794,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.68,0.39,1.07,0.0,0.0,0.0,0.0,0.0,1.5245,45.45,1.6005,53.05,1.6348,56.48,1.6553,58.53,2026-09-21T11:16:45+00:00,BTC,B,794,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.49,0.89,1.38,0.0,0.0,0.0,0.0,0.0,1.38,0.0,1.422,4.2,1.451,7.1,1.4712,9.12,2026-09-21T11:16:45+00:00,ETH,A,794,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.52,0.89,1.41,0.0,0.0,0.0,0.0,0.0,1.41,0.0,1.452,4.2,1.481,7.1,1.5031,9.31,2026-09-21T11:16:45+00:00,ETH,B,794,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.48,0.69,1.17,0.0,0.0,0.0,0.0,0.0,1.3545,18.45,1.4077,23.77,1.4398,26.98,1.4644,29.44,2026-09-21T11:16:45+00:00,SOL,A,794,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.54,0.52,1.06,0.0,0.0,0.0,0.0,0.0,1.3975,33.75,1.4643,40.43,1.4981,43.81,1.5185,45.85,2026-09-21T11:16:45+00:00,SOL,B,794,KXSOL15M-26SEP210730-30,SOL-UPDOWN-15MIN-260921-1915-1930
0.34,0.75,1.09,0.0,0.0,0.0,0.0,0.0,1.2205,13.05,1.2677,17.77,1.2984,20.84,1.3167,22.67,2026-09-21T11:17:06+00:00,BTC,A,773,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.67,0.4,1.07,0.0,0.0,0.0,0.0,0.0,1.5155,44.55,1.5907,52.07,1.6249,55.49,1.6453,57.53,2026-09-21T11:17:06+00:00,BTC,B,773,KXBTC15M-26SEP210730-30,BTC-UPDOWN-15MIN-260921-1915-1930
0.51,0.89,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4488,4.88,1.4813,8.13,1.5045,10.45,2026-09-21T11:17:06+00:00,ETH,A,773,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
0.5,0.89,1.39,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.432,4.2,1.461,7.1,1.4832,9.32,2026-09-21T11:17:06+00:00,ETH,B,773,KXETH15M-26SEP210730-30,ETH-UPDOWN-15MIN-260921-1915-1930
